Symbol,DATE,CLOSE
HDFC,02-Mar-20,2179.65
TCS,02-Mar-20,2001.3
AXISBANK,02-Mar-20,684.2
LT,02-Mar-20,1160.9
TATAMOTORS,02-Mar-20,125.4
KOTAKBANK,02-Mar-20,1599
BHARTIARTL,02-Mar-20,518.35
INFY,02-Mar-20,741.05
POWERGRID,02-Mar-20,183.5
MARUTI,02-Mar-20,6285.15
ONGC,02-Mar-20,89.1
TATASTEEL,02-Mar-20,364.05
ASIANPAINT,02-Mar-20,1786.8
HINDUNILVR,02-Mar-20,2159.45
SUNPHARMA,02-Mar-20,369.5
NTPC,02-Mar-20,103.9
ZEEL,02-Mar-20,233.85
COALINDIA,02-Mar-20,169.35
ITC,02-Mar-20,195.3
VEDL,02-Mar-20,110.95
EICHERMOT,02-Mar-20,17013.4
IOC,02-Mar-20,103.95
DRREDDY,02-Mar-20,2905.55
BAJAJFINSV,02-Mar-20,8914.5
TITAN,02-Mar-20,1244.15
TECHM,02-Mar-20,744.55
ULTRACEMCO,02-Mar-20,4141.7
UPL,02-Mar-20,514.35
M&M,02-Mar-20,458.3
HCLTECH,02-Mar-20,549.7
NESTLEIND,02-Mar-20,16109.95
WIPRO,02-Mar-20,220.8
BAJAJ-AUTO,02-Mar-20,2792.2
BRITANNIA,02-Mar-20,2949.1
JSWSTEEL,02-Mar-20,235
GRASIM,02-Mar-20,668.45
GAIL,02-Mar-20,99.65
HEROMOTOCO,02-Mar-20,1975.45
HINDALCO,02-Mar-20,149.75
INFRATEL,02-Mar-20,216.85
CIPLA,02-Mar-20,401.95
ADANIPORTS,02-Mar-20,340.65
RELIANCE,28-Feb-20,1328.65
SBIN,28-Feb-20,303
ICICIBANK,28-Feb-20,497.25
HDFCBANK,28-Feb-20,1177.65
BPCL,28-Feb-20,426.35
YESBANK,28-Feb-20,34.6
BAJFINANCE,28-Feb-20,9050.75
INDUSINDBK,28-Feb-20,1104.05
HDFC,28-Feb-20,2175.75
TCS,28-Feb-20,2000.15
AXISBANK,28-Feb-20,697.3
LT,28-Feb-20,1187.55
TATAMOTORS,28-Feb-20,128.95
KOTAKBANK,28-Feb-20,1620.35
BHARTIARTL,28-Feb-20,523.5
INFY,28-Feb-20,731.7
POWERGRID,28-Feb-20,181.5
MARUTI,28-Feb-20,6283.1
ONGC,28-Feb-20,91.95
TATASTEEL,28-Feb-20,381.75
ASIANPAINT,28-Feb-20,1797.95
HINDUNILVR,28-Feb-20,2174.75
SUNPHARMA,28-Feb-20,372.9
NTPC,28-Feb-20,106.55
ZEEL,28-Feb-20,239.3
COALINDIA,28-Feb-20,168.4
ITC,28-Feb-20,197.55
VEDL,28-Feb-20,114
EICHERMOT,28-Feb-20,16602.35
IOC,28-Feb-20,105.75
DRREDDY,28-Feb-20,2927.1
BAJAJFINSV,28-Feb-20,9050.75
TITAN,28-Feb-20,1254.5
TECHM,28-Feb-20,744.4
ULTRACEMCO,28-Feb-20,4219.6
UPL,28-Feb-20,519.7
M&M,28-Feb-20,457.05
HCLTECH,28-Feb-20,534.35
NESTLEIND,28-Feb-20,15778.85
WIPRO,28-Feb-20,221.45
BAJAJ-AUTO,28-Feb-20,2890
BRITANNIA,28-Feb-20,2970.2
JSWSTEEL,28-Feb-20,235.7
GRASIM,28-Feb-20,687.2
GAIL,28-Feb-20,104.4
HEROMOTOCO,28-Feb-20,2051.75
HINDALCO,28-Feb-20,155.9
INFRATEL,28-Feb-20,214.45
CIPLA,28-Feb-20,402.1
ADANIPORTS,28-Feb-20,342.2
RELIANCE,27-Feb-20,1386.25
SBIN,27-Feb-20,321.95
ICICIBANK,27-Feb-20,515.35
HDFCBANK,27-Feb-20,1199.45
BPCL,27-Feb-20,444.05
YESBANK,27-Feb-20,36.8
BAJFINANCE,27-Feb-20,9408
INDUSINDBK,27-Feb-20,1115.55
HDFC,27-Feb-20,2272.2
TCS,27-Feb-20,2105.5
AXISBANK,27-Feb-20,735.85
LT,27-Feb-20,1210.35
TATAMOTORS,27-Feb-20,145.25
KOTAKBANK,27-Feb-20,1682.75
BHARTIARTL,27-Feb-20,531.65
INFY,27-Feb-20,777.85
POWERGRID,27-Feb-20,186.45
MARUTI,27-Feb-20,6289.8
ONGC,27-Feb-20,93.35
TATASTEEL,27-Feb-20,412.8
ASIANPAINT,27-Feb-20,1843.8
HINDUNILVR,27-Feb-20,2254.95
SUNPHARMA,27-Feb-20,388.5
NTPC,27-Feb-20,109.05
ZEEL,27-Feb-20,244.35
COALINDIA,27-Feb-20,174.1
ITC,27-Feb-20,197.55
VEDL,27-Feb-20,130.55
EICHERMOT,27-Feb-20,17053.4
IOC,27-Feb-20,105.65
DRREDDY,27-Feb-20,3067.05
BAJAJFINSV,27-Feb-20,9408
TITAN,27-Feb-20,1277.9
TECHM,27-Feb-20,809.15
ULTRACEMCO,27-Feb-20,4321.65
UPL,27-Feb-20,550.85
M&M,27-Feb-20,493.5
HCLTECH,27-Feb-20,573.05
NESTLEIND,27-Feb-20,16263.75
WIPRO,27-Feb-20,231.6
BAJAJ-AUTO,27-Feb-20,2936.6
BRITANNIA,27-Feb-20,3026.05
JSWSTEEL,27-Feb-20,252.1
GRASIM,27-Feb-20,712.85
GAIL,27-Feb-20,107.35
HEROMOTOCO,27-Feb-20,2110.25
HINDALCO,27-Feb-20,168.35
