Symbol,DATE,CLOSE
Aluminium,12-Jul-19,142.85
Aluminium,15-Jul-19,142.6
Aluminium,16-Jul-19,143.15
Aluminium,17-Jul-19,142.85
Aluminium,18-Jul-19,143.55
Aluminium,19-Jul-19,144.9
Aluminium,22-Jul-19,144.55
Aluminium,23-Jul-19,143.55
Aluminium,24-Jul-19,143.85
Aluminium,25-Jul-19,143.65
Aluminium,26-Jul-19,142.7
Aluminium,29-Jul-19,141.6
Aluminium,30-Jul-19,142.65
Aluminium,31-Jul-19,141.7
Aluminium,01-Aug-19,141.25
Aluminium,02-Aug-19,141.6
Aluminium,05-Aug-19,141.75
Aluminium,06-Aug-19,141.4
Aluminium,07-Aug-19,141.9
Aluminium,08-Aug-19,142.4
Aluminium,09-Aug-19,142.5
Aluminium,13-Aug-19,142.2
Aluminium,14-Aug-19,142.4
Aluminium,16-Aug-19,142.4
Aluminium,19-Aug-19,143.9
Aluminium,20-Aug-19,143.85
Aluminium,21-Aug-19,144.15
Aluminium,22-Aug-19,143.7
Aluminium,23-Aug-19,144.75
Aluminium,26-Aug-19,143
Aluminium,27-Aug-19,143.5
Aluminium,28-Aug-19,143.7
Aluminium,29-Aug-19,143.15
Aluminium,30-Aug-19,142.9
Aluminium,03-Sep-19,142.3
Aluminium,04-Sep-19,143.25
Aluminium,05-Sep-19,144.65
Aluminium,06-Sep-19,143.55
Aluminium,09-Sep-19,144.2
Aluminium,11-Sep-19,145.95
Aluminium,12-Sep-19,145.3
Aluminium,13-Sep-19,144.55
Aluminium,16-Sep-19,144.35
Aluminium,17-Sep-19,144
Aluminium,18-Sep-19,143.75
Aluminium,19-Sep-19,142.05
Aluminium,20-Sep-19,143.25
Aluminium,23-Sep-19,143.05
Aluminium,24-Sep-19,142.05
Aluminium,25-Sep-19,142.2
Aluminium,26-Sep-19,141.35
Aluminium,27-Sep-19,140.5
Aluminium,30-Sep-19,138.4
Aluminium,01-Oct-19,139.6
Aluminium,03-Oct-19,138.35
Aluminium,04-Oct-19,138.65
Aluminium,07-Oct-19,139.5
Aluminium,09-Oct-19,138.75
Aluminium,10-Oct-19,139.85
Aluminium,11-Oct-19,141.4
Aluminium,14-Oct-19,140.75
Aluminium,15-Oct-19,137.55
Aluminium,16-Oct-19,137
Aluminium,17-Oct-19,138.15
Aluminium,18-Oct-19,139.15
Aluminium,22-Oct-19,138.05
Aluminium,23-Oct-19,137.4
Aluminium,24-Oct-19,138.95
Aluminium,25-Oct-19,139.75
Aluminium,27-Oct-19,139.75
Aluminium,29-Oct-19,139.75
Aluminium,30-Oct-19,138.5
Aluminium,31-Oct-19,139.35
Aluminium,01-Nov-19,140.3
Aluminium,04-Nov-19,142.7
Aluminium,05-Nov-19,141.3
Aluminium,06-Nov-19,143.45
